Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Students at Venetian Pool				The cool water invites the students and V-12's on a hot afternoon at the Venetian Pool. Seated on the bank from left to right are: Pat Malloy, Sid Josepher, Roberta Crimm, Scottie Chandler, and Fairfax Harr. In the water are: Roselyn Lustig and Sam Lowe.		Photographs	1944	1940-1950	Coral Gables (Florida)	1 b&w photograph; 12.8 x 17.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 2; Folder Title: Students: at Venetian Pool.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201450001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/54	54	104.jp2	/um_students/image/104.jp2
Wyatt Alexander	S.T.M.		Alexander was a student at the University in 1965	Written on verso: "Wyatt Alexander 4/65 STM"		Photographs	1965-04	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.5 x 25.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 3;  Folder No. 8;  Folder Title: Students: Individuals (A) photos/negatives, .v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201660001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/55	55	43.jp2	/um_students/image/43.jp2
Betty Braun, Tempo Cover Girl				Written on verso: "Betty Braun Tempo June 1950"		Photographs	1950-06	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.7 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 7; Folder No. 13; Folder Title: Students: Tempo Beauties, 1950s	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200980001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/56	56	73.jp2	/um_students/image/73.jp2
Female international student				Written on verso: "1950s"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 6; Folder Title: Students: Foreign Students.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200080001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/57	57	172.jp2	/um_students/image/172.jp2
William Suter				Written on verso: "William Suter; Ceramics - Education 112; North Campus Feature; Hurricane Oct 24, 1952; Page 9"		Photographs	1952-10-24	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 5;  Folder No. 2;  Folder Title: Students: Individuals (S) (1 of 2).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201850001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/58	58	21.jp2	/um_students/image/21.jp2
Natalie Lagin	De Warren Studio			Written on verso: "Natalie Lagin"		Portrait photographs	1949-05-15	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.6 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 11; Folder Title: Students: 1949, 1949	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201120001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/59	59	45.jp2	/um_students/image/45.jp2
Bing Sui				Written on verso:  "March 1951-Tempo; Report on Asia feature"		Portrait photographs	1951-03	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.7 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 5; Folder No. 3; Folder Title: Students: Individuals (S) (2 of 2).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201870001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/60	60	48.jp2	/um_students/image/48.jp2
Lou Mararion posing for a photograph				Written on verso: "Lou Mararion; Jan 27, 1950"		Portrait photographs	1950-01-27	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 4; Folder No. 10; Folder Title: Students: Individuals (M).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200620001001												2009-06-18	2011-11-16	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/61	61	14.jp2	/um_students/image/14.jp2
Reynolds Aluminum Company Prize to Winner	B.N.			Written on verso: "P.I.O. Presentation of Reynolds Aluminum Co Prize to student 3/66 - BN"		Photographs	1966-03	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 7; Folder No. 11; Folder Title: Students: Scholarship and Award Recipients, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200910001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/62	62	179.jp2	/um_students/image/179.jp2
Female students and two faculty members at the girl's dormitory		Erikson, Betty (source)		Written on front of photo: "University of Miami Girl's Dormatory [sic] 1928-1929" ; signature on front right corner.		Photographs	1928-1929	1920-1930	Coral Gables (Florida)	1 b&w photograph; 24.4 x 19.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 4; Folder Title: Students: 1920s (1 of 2), 1920s	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200320001001	Image	image/tiff										2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/63	63	66.jp2	/um_students/image/66.jp2
