Scientific Name	Common Name	Synomyns	Contents	Summary	Collector(s)	Collection Date	Serial Structure	Type of Section	Magnification	Note	Comments on Plant	Origin of Plant	Country	Kingdom	Phylum/Division	Class	Order	Family	Genus	Specific Epithet	Authority	Accession Number	Slide Serial	Publisher	Repository	Collection	Subject	Type	Format	Genre	Physical Description	Copyright	Object ID	Digital ID	Microscope	Digital Camera	Software	Date Created	Source File	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
C-3 Flower bud (l) 4x image 3						3/21/1939	Flower bud	l	4x	Third and last slide of same section.	P.E.I. No. 98732	Plant Introduction Garden, Glenn Dale, MD						Rutaceae	Atalantia	ceylonica		Tillson 524	C-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson524	bio00010198220003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010198220003001.tif	37604372 Bytes	4080	3072	521028201	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2349	2349	2350.jp2	/swingle/image/2350.jp2
E-2 Pistil (l) 4x image 1						3/21/1939	Pistil	l	4x	First slide of same section.	P.E.I. No. 98732	Plant Introduction Garden, Glenn Dale, MD						Rutaceae	Atalantia	ceylonica		Tillson 524	E-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson524	bio00010198270001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010198270001001.tif	14711828 Bytes	1596	3072	4077171894	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2350	2350	2351.jp2	/swingle/image/2351.jp2
E-2 Pistil (l) 4x image 2						3/21/1939	Pistil	l	4x	Second slide of same section.	P.E.I. No. 98732	Plant Introduction Garden, Glenn Dale, MD						Rutaceae	Atalantia	ceylonica		Tillson 524	E-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson524	bio00010198270002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010198270002001.tif	26162204 Bytes	2844	3066	2651404248	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2351	2351	2352.jp2	/swingle/image/2352.jp2
E-2 Pistil (l) 4x image 3						3/21/1939	Pistil	l	4x	Third and last slide of same section.	P.E.I. No. 98732	Plant Introduction Garden, Glenn Dale, MD						Rutaceae	Atalantia	ceylonica		Tillson 524	E-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson524	bio00010198270003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010198270003001.tif	13229508 Bytes	2268	1944	4040006801	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2352	2352	2353.jp2	/swingle/image/2353.jp2
Atalantia ceylonica  (Tillson 524)			flower bud (x); flower bud (x); flower bud (l); pistil (l);	Digitized images of microscopic slices of Atalantia ceylonica  (Tillson 524) plant structures that were stained and permanently mounted to a glass slide.		3/21/1939					P.E.I. No. 98732	Plant Introduction Garden, Glenn Dale, Maryland	United States				Sapindales	Rutaceae	Atalantia	ceylonica		Tillson 524		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson524															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2353	2353	2354.cpd	/swingle/image/2354.cpd
A-8 Cotyledon (portion) (x) 4x image 1							Cotyledon (portion)	x	4x	part 1 of section	Seedlings							Rutaceae	Swinglea	glutinosa	(Blanco) Merr.	SV471	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV471	bio00010101590001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010101590001001.tif	14822420 Bytes	1608	3072	3112738553	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2354	2354	2355.jp2	/swingle/image/2355.jp2
A-8 Cotyledon (portion) (x) 4x image 2							Cotyledon (portion)	x	4x	part 2 of same section	Seedlings							Rutaceae	Swinglea	glutinosa	(Blanco) Merr.	SV471	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV471	bio00010101590002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010101590002001.tif	14213732 Bytes	1548	3060	632739023	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2355	2355	2356.jp2	/swingle/image/2356.jp2
B-8 Apex of a pseudocotyledon (x) 4x image 1							Apex of a pseudocotyledon	x	4x	part 1 of section	Seedlings							Rutaceae	Swinglea	glutinosa	(Blanco) Merr.	SV471	B-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV471	bio00010101480001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010101480001001.tif	10730356 Bytes	1548	2310	2371715563	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2356	2356	2357.jp2	/swingle/image/2357.jp2
B-8 Apex of a pseudocotyledon (x) 10x image 2							Apex of a pseudocotyledon	x	10x	part 2 of same section; 10X view	Seedlings							Rutaceae	Swinglea	glutinosa	(Blanco) Merr.	SV471	B-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV471	bio00010101480002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010101480002001.tif	6912572 Bytes	1548	1488	3385516995	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2357	2357	2358.jp2	/swingle/image/2358.jp2
B-8 Apex of a pseudocotyledon (x) 4x image 3							Apex of a pseudocotyledon	x	4x	part 3 of same section	Seedlings							Rutaceae	Swinglea	glutinosa	(Blanco) Merr.	SV471	B-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV471	bio00010101480003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010101480003001.tif	6683316 Bytes	732	3042	1510646	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2358	2358	2359.jp2	/swingle/image/2359.jp2
Swinglea glutinosa (Blanco) Merr. (SV471)			apex of a pseudocotyledon (x); cotyledon (portion) (x);	Digitized images of microscopic slices of Swinglea glutinosa (Blanco) Merr. (SV471) plant structures that were stained and permanently mounted to a glass slide.							Seedlings						Sapindales	Rutaceae	Swinglea	glutinosa	(Blanco) Merr.	SV471		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV471															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2359	2359	2360.cpd	/swingle/image/2360.cpd
A-2 Portion of a leaf (x) 4x image 1					Venning, F.D.	5/31/1944	Portion of a leaf	x	4x		Buds, leaf.  FAA	San Sebastian Bldg., Univ. of Miami, 313 Univ. Drive, Coral Gables, Fla.						Podocarpaceae	Podocarpus	macrophyllus	(Thunb.) Sweet var. maki Sieb. & Zucc.	SV72	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV72	bio00010146640001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010146640001001.tif	12278804 Bytes	1332	3072	2741082828	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2360	2360	2361.jp2	/swingle/image/2361.jp2
E-4 Terminal bud (x) 4x image 1					Venning, F.D.	5/31/1944	Terminal bud	x	4x		Buds, leaf.  FAA	San Sebastian Bldg., Univ. of Miami, 313 Univ. Drive, Coral Gables, Fla.						Podocarpaceae	Podocarpus	macrophyllus	(Thunb.) Sweet var. maki Sieb. & Zucc.	SV72	E-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV72	bio00010146820001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010146820001001.tif	25560212 Bytes	2784	3060	3986474270	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2361	2361	2362.jp2	/swingle/image/2362.jp2
E-4 Terminal bud (x) 4x image 2					Venning, F.D.	5/31/1944	Terminal bud	x	4x	same slide, different section	Buds, leaf.  FAA	San Sebastian Bldg., Univ. of Miami, 313 Univ. Drive, Coral Gables, Fla.						Podocarpaceae	Podocarpus	macrophyllus	(Thunb.) Sweet var. maki Sieb. & Zucc.	SV72	E-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV72	bio00010146820002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010146820002001.tif	25558884 Bytes	2784	3060	1187087146	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2362	2362	2363.jp2	/swingle/image/2363.jp2
Podocarpus macrophyllus (Thunb.) Sweet var. maki Sieb. & Zucc. (SV72)		Podocarpus chinensis	portion of a leaf (x); terminal bud (x);	Digitized images of microscopic slices of Podocarpus macrophyllus (Thunb.) Sweet var. maki Sieb. & Zucc. (SV72) plant structures that were stained and permanently mounted to a glass slide.	Venning, F.D.	5/31/1944					Buds, leaf.  FAA	San Sebastian Bldg., Univ. of Miami, 313 University Drive, Coral Gables, Florida	United States				Pinales	Podocarpaceae	Podocarpus	macrophyllus	(Thunb.) Sweet var. maki Sieb. & Zucc.	SV72		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV72															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2363	2363	2364.cpd	/swingle/image/2364.cpd
A-1 Fruit segment () 4x image 1					Swingle, W.T.	11/5/1941	Fruit segment		4x		Tree No. 2.	Fla. Sub-tropical Experiment Station, Homestead, FL.						Rutaceae	Aegle	marmelos		Tillson 812	A-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson812	bio00010223000001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010223000001001.tif	37604372 Bytes	4080	3072	1047726224	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2364	2364	2365.jp2	/swingle/image/2365.jp2
A-1 Fruit segment () 4x image 2					Swingle, W.T.	11/5/1941	Fruit segment		4x		Tree No. 2.	Fla. Sub-tropical Experiment Station, Homestead, FL.						Rutaceae	Aegle	marmelos		Tillson 812	A-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson812	bio00010223000002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010223000002001.tif	37604372 Bytes	4080	3072	1443723286	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2365	2365	2366.jp2	/swingle/image/2366.jp2
C-1 Fruit segment () 4x image 1					Swingle, W.T.	11/5/1941	Fruit segment		4x		Tree No. 2.	Fla. Sub-tropical Experiment Station, Homestead, FL.						Rutaceae	Aegle	marmelos		Tillson 812	C-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson812	bio00010222980001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010222980001001.tif	37604372 Bytes	4080	3072	2513893593	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2366	2366	2367.jp2	/swingle/image/2367.jp2
C-1 Fruit segment () 4x image 2					Swingle, W.T.	11/5/1941	Fruit segment		4x		Tree No. 2.	Fla. Sub-tropical Experiment Station, Homestead, FL.						Rutaceae	Aegle	marmelos		Tillson 812	C-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson812	bio00010222980002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010222980002001.tif	37604372 Bytes	4080	3072	1286688125	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2367	2367	2368.jp2	/swingle/image/2368.jp2
Aegle marmelos  (Tillson 812)	bael; bel; Bengal quince; golden apple		fruit segment (); fruit segment ();	Digitized images of microscopic slices of Aegle marmelos  (Tillson 812) plant structures that were stained and permanently mounted to a glass slide.	Swingle, W.T.	11/5/1941					Tree No. 2.	Fla. Sub-tropical Experiment Station, Homestead, Florida	United States				Sapindales	Rutaceae	Aegle	marmelos		Tillson 812		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson812															2009-07-17	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2368	2368	2369.cpd	/swingle/image/2369.cpd
A-2 Mature flower bud (x) 4x image 1					Bomhard, Miriam	5/12/1944	Mature flower bud	x	4x		Flower buds. 70% Alcohol	New Orleans, La.						Arecaceae	Sabal	mexicana	Martius	SV87	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV87	bio00010159360001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010159360001001.tif	20154924 Bytes	2352	2856	2667338447	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2369	2369	2370.jp2	/swingle/image/2370.jp2
A-4 Mature flower bud (x) 4x image 1					Bomhard, Miriam	5/12/1944	Mature flower bud	x	4x	3 red ovules	Flower buds. 70% Alcohol	New Orleans, La.						Arecaceae	Sabal	mexicana	Martius	SV87	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV87	bio00010159380001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010159380001001.tif	18037972 Bytes	2352	2556	4108750275	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2370	2370	2371.jp2	/swingle/image/2371.jp2
A-4 Mature flower bud (x) 10x image 2					Bomhard, Miriam	5/12/1944	Mature flower bud	x	10x	ovules at power10x	Flower buds. 70% Alcohol	New Orleans, La.						Arecaceae	Sabal	mexicana	Martius	SV87	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV87	bio00010159380002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010159380002001.tif	37604372 Bytes	4080	3072	438895000	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2371	2371	2372.jp2	/swingle/image/2372.jp2
B-3 Mature flower (l) 4x image 1					Bomhard, Miriam	5/12/1944	Mature flower	l	4x	picture one focusing on red ovules	Flower buds. 70% Alcohol	New Orleans, La.						Arecaceae	Sabal	mexicana	Martius	SV87	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV87	bio00010159240001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010159240001001.tif	37604372 Bytes	4080	3072	2261535178	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2372	2372	2373.jp2	/swingle/image/2373.jp2
B-3 Mature flower (l) 4x image 2					Bomhard, Miriam	5/12/1944	Mature flower	l	4x	pic two	Flower buds. 70% Alcohol	New Orleans, La.						Arecaceae	Sabal	mexicana	Martius	SV87	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV87	bio00010159240002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010159240002001.tif	37604372 Bytes	4080	3072	3659883323	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2373	2373	2374.jp2	/swingle/image/2374.jp2
B-3 Mature flower (l) 10x image 3					Bomhard, Miriam	5/12/1944	Mature flower	l	10x	red ovule at power10x	Flower buds. 70% Alcohol	New Orleans, La.						Arecaceae	Sabal	mexicana	Martius	SV87	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV87	bio00010159240003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010159240003001.tif	37604372 Bytes	4080	3072	864494895	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2374	2374	2375.jp2	/swingle/image/2375.jp2
Sabal mexicana Martius (SV87)		Sabal exul	mature flower (l); mature flower bud (x);	Digitized images of microscopic slices of Sabal mexicana Martius (SV87) plant structures that were stained and permanently mounted to a glass slide.	Bomhard, Miriam	5/12/1944					Flower buds. 70% Alcohol	New Orleans, Louisana	United States				Arecales	Arecaceae	Sabal	mexicana	Martius	SV87		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV87															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2375	2375	2376.cpd	/swingle/image/2376.cpd
A-8 Flower  (l) 4x image 1					Swingle, W.T.; Venning, F.D.	June, 1946	Flower	l	4x		Flowers, pistils, young fruits. FAA	Botanic Garden, Wash., D.C.						Rutaceae	Poncirus	trifoliata		SV19	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV19	bio00010020280001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010020280001001.tif	37604372 Bytes	4080	3072	846050851	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2376	2376	2377.jp2	/swingle/image/2377.jp2
A-8 Flower  (l) 4x image 2					Swingle, W.T.; Venning, F.D.	June, 1946	Flower	l	4x	part 2 of same section	Flowers, pistils, young fruits. FAA	Botanic Garden, Wash., D.C.						Rutaceae	Poncirus	trifoliata		SV19	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV19	bio00010020280002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010020280002001.tif	37604372 Bytes	4080	3072	2201494330	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2377	2377	2378.jp2	/swingle/image/2378.jp2
A-8 Flower  (l) 4x image 3					Swingle, W.T.; Venning, F.D.	June, 1946	Flower	l	4x	part 3 of same section	Flowers, pistils, young fruits. FAA	Botanic Garden, Wash., D.C.						Rutaceae	Poncirus	trifoliata		SV19	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV19	bio00010020280003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010020280003001.tif	17325948 Bytes	2052	2814	223727035	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2378	2378	2379.jp2	/swingle/image/2379.jp2
B-38 Pistil (x) 4x image 1					Swingle, W.T.; Venning, F.D.	June, 1946	Pistil	x	4x		Flowers, pistils, young fruits. FAA	Botanic Garden, Wash., D.C.						Rutaceae	Poncirus	trifoliata		SV19	B-38	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV19	bio00010020820001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010020820001001.tif	37604372 Bytes	4080	3072	3231610829	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2379	2379	2380.jp2	/swingle/image/2380.jp2
Poncirus trifoliata  (SV19)			flower  (l); pistil (x);	Digitized images of microscopic slices of Poncirus trifoliata  (SV19) plant structures that were stained and permanently mounted to a glass slide.	Venning, F.D.; Swingle, W.T.	June, 1946					Flowers, pistils, young fruits. FAA	Botanic Garden, Washington, D.C.	United States				Sapindales	Rutaceae	Poncirus	trifoliata		SV19		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV19															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2380	2380	2381.cpd	/swingle/image/2381.cpd
A-4 Flower bud (x) 4x image 1						5/22/1919	Flower bud	x	4x		7775-B, Herb. Bur. Pl. Ind., Wash., D.C.	Specimen taken from large orange house USDA, Washington DC						Rutaceae	Microcitrus	australasica		Tillson 310	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson310	bio00010181730001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010181730001001.tif	37604372 Bytes	4080	3072	1173092782	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2381	2381	2382.jp2	/swingle/image/2382.jp2
D-2 Flower (l) 4x image 1						5/22/1919	Flower	l	4x	part 1 of section	7775-B, Herb. Bur. Pl. Ind., Wash., D.C.	Specimen taken from large orange house USDA, Washington DC						Rutaceae	Microcitrus	australasica		Tillson 310	D-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson310	bio00010181770001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010181770001001.tif	30999060 Bytes	3444	3000	2622886932	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2382	2382	2383.jp2	/swingle/image/2383.jp2
