Title	Creator	Contibutors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Rights	Copyright	Editor	Attention	Object No.	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 19												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050023001	Text	image/tiff					3258	4180	0x1D4C3DE4			00150000050023001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/392	392	393.jp2	/chc0015/image/393.jp2
Page 20												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050024001	Text	image/tiff					3243	4195	0x52C4D08C			00150000050024001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/393	393	394.jp2	/chc0015/image/394.jp2
Page 21												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050025001	Text	image/tiff					3269	4180	0xC0042240			00150000050025001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/394	394	395.jp2	/chc0015/image/395.jp2
Page 22												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050026001	Text	image/tiff					3269	4195	0x48C9E57A			00150000050026001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/395	395	396.jp2	/chc0015/image/396.jp2
Page 23												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050027001	Text	image/tiff					3294	4247	0x2C93AE41			00150000050027001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/396	396	397.jp2	/chc0015/image/397.jp2
Page 24												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050028001	Text	image/tiff					3281	4195	0x7BCC558B			00150000050028001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/397	397	398.jp2	/chc0015/image/398.jp2
Page 25												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050029001	Text	image/tiff					3296	4207	0x891AB1B9			00150000050029001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/398	398	399.jp2	/chc0015/image/399.jp2
Page 26												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050030001	Text	image/tiff					3269	4180	0x2538A630			00150000050030001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/399	399	400.jp2	/chc0015/image/400.jp2
Page 27												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050031001	Text	image/tiff					3258	4195	0xAA55B14E			00150000050031001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/400	400	401.jp2	/chc0015/image/401.jp2
Page 28												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050032001	Text	image/tiff					3281	4195	0x50FEEE5			00150000050032001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/401	401	402.jp2	/chc0015/image/402.jp2
Page 29												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050033001	Text	image/tiff					3281	4195	0xFB8F32E8			00150000050033001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/402	402	403.jp2	/chc0015/image/403.jp2
Page 30												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050034001	Text	image/tiff					3269	4207	0x82B31D82			00150000050034001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/403	403	404.jp2	/chc0015/image/404.jp2
Page 31												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050035001	Text	image/tiff					3269	4195	0x5312B349			00150000050035001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/404	404	405.jp2	/chc0015/image/405.jp2
Page 32												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050036001	Text	image/tiff					3269	4180	0x33BAE9A8			00150000050036001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/405	405	406.jp2	/chc0015/image/406.jp2
Page 33												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050037001	Text	image/tiff					3258	4180	0x93F1968E			00150000050037001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/406	406	407.jp2	/chc0015/image/407.jp2
Page 34												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050038001	Text	image/tiff					3269	4195	0xF6BF33D7			00150000050038001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/407	407	408.jp2	/chc0015/image/408.jp2
Page 35												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050039001	Text	image/tiff					3269	4180	0x64059872			00150000050039001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/408	408	409.jp2	/chc0015/image/409.jp2
Page 36												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050040001	Text	image/tiff					3269	4195	0x758DDF8E			00150000050040001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/409	409	410.jp2	/chc0015/image/410.jp2
