Title	Creator	Summary	Note	Subject	Genre	Date	Coverage - Temporal	Physical Description	Language	Editor	Repository	Collection Title	Collection No.	Series	Container	Copyright	Digital ID	Object ID	File Size	Checksum	Format	Type	Height	Width	Archive	Directory	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Polita Grau de Agüero	Lórens	Portrait of Polita Grau de Agüero taken in Havana	On recto: "Lórens ... [unintelligible]"	Grau de Agüero, Polita, 1915-2000	Portrait photographs		1940-1950	1 b&w portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 6  Folder Title: Grau Polita: Portraits. Folder Date: 1916-1980s	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000500001001		122.252 KB	0xE92B596A	image/tiff	Image	768	551	03560000500001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/745	745	769.jpg	/chc0356/image/769.jpg
The Grau Alsina siblings: Francisco, Ramón, Tata (Paulina) and Polita		Photograph taken in Miami of the Grau Alsina siblings: Francisco, left, and Ramón with their sisters Paulina, left, and Polita		Grau de Agüero, Polita, 1915-2000 -- Family; Grau Alsina, Paulina; Grau Alsina, Ramón; Grau Alsina, Francisco	Group portraits		1980-1990	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 13  Folder Title: Grau Family: United States and Spain. Folder Date: 1965?-1990s	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000630001001		167.874 KB	0xD58E8431	image/tiff	Image	768	619	03560000630001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/746	746	782.jpg	/chc0356/image/782.jpg
Celebrating Carlos Prío Socarrás' presidential election victory in the Presidential Palace, Havana		From left to right: Pepe Agüero, Cuban president Ramón Grau San Martín, Genovevo Pérez Dámera, Carlos Prío Socarras, Dr. Alonso Pujol (wearing glasses), Ramiro de la Riva, and Albertico Cruz. Behind Prío Socarrás is Pikin Gutiérrez. Photograph taken in the Presidential Palace after winning Socarrás the presidential election	From left to right: Pepe Agüero, Ramón Grau San Martín, Genovevo Pérez Dámera, Carlos Prío Socarras, Dr. Alonso Pujol (wearing glasses), Ramiro de la Riva, and Albertico Cruz. Behind Prío Socarras is Pikin Gutiérrez	Grau San Martín, Ramón, 1887-1969; Agüero, José; Pérez Dámera, Genovevo; Prío Socarras, Carlos; Pujol, Alonso; Riva, Ramiro de la; Cruz, Alberto; Gutiérrez, Pikin; Presidents -- Cuba	Group portraits	1948-06	1940-1950	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000400001001		321.699 KB	0x787A6530	image/tiff	Image	768	993	03560000400001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/747	747	759.jpg	/chc0356/image/759.jpg
Paulina Alsina de Grau, Carlos Prío Socarras, Mary Tarrero, and Ramón Grau San Martín		Photograph taken at the Presidential Palace, Havana. From left to right: Paulina Alsina de Grau, Carlos Prío Socarrás, Mary Tarrero, and Ramón Grau San Martín on the wedding day of Carlos Prío Socarrás and Mary Tarrero	Notation on verso: "Foto tomada en 1946 en Palacio el día de la boda de Prío y la Sra. Mary Tarrero de Prío.  Grau y Paulina fueron padrinos de la boda."  Photographic reproduction of photographic print.	Grau San Martín, Ramón, 1887-1969;  Prío Socarrás, Carlos; Alsina de Grau, Paulina; Tarrero de Prío, Mary; Presidents -- Cuba	Group portraits	1946	1940-1950	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000370001001		308.723 KB	0x68775470	image/tiff	Image	768	958	03560000370001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/748	748	756.jpg	/chc0356/image/756.jpg
Ramón Grau San Martín's inauguration day, September 10, 1933		Crowds before the Presidential Palace on Ramón Grau San Martín's inauguration day, September 10, 1933	Photographic reproduction of photographic print.	Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits	1933-09-10	1930-1940	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 5  Folder No. 2  Folder Title: Grau San Martín Ramón: Presidential Inauguration (Oversized) Folder Date: 1933	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000650001001		378.483 KB	0x854AE8B3	image/tiff	Image	768	991	03560000650001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/749	749	784.jpg	/chc0356/image/784.jpg
Roberto Lago Pereda and Polita Grau		Polita Grau and first husband Roberto Lago Pereda. They were married in 1934 when he was leader of the student movement in Havana. While visiting Miami in 1935, Lago Pereda suffered an attack of appendicitis and died at Jackson Memorial Hospital	Notation on verso: "A los 18 años después de haber sido 1a dama de Cuba en el gobierno revolucionario de su tío Dr. Grau San Martín Set 1933-Enero 1934 con Roberto Lago Pereda miembro del Directorio Estudiantil Universitario."	Grau de Agüero, Polita, 1915-2000 -- Family; Lago Pereda, Roberto; Jackson Memorial Hospital	Group portraits	1934-09	1930-1940	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994(bulk dates 1980s-1994).	Box No. 4  Folder No. 8  Folder Title: Grau Polita and Roberto Lago Pereda. Folder Date: 1933-1934	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000530001001		146.032 KB	0xEA667EB4	image/tiff	Image	768	487	03560000530001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/750	750	772.jpg	/chc0356/image/772.jpg
Polita Grau in the Presidential Palace, Havana		Polita Grau seated in a bedroom of the Presidential Palace in Havana, Cuba	Dedication on recto: "Para Isabel con muchísimo cariño, Polita. 1-10-34."  Isabel was Polita's first husband's mother.	Grau de Agüero, Polita, 1915-2000	Portrait photograph	1934	1930-1940	1 b&w portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 6  Folder Title: Grau Polita: Portraits. Folder Date: 1916-1980s	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000490001001		427.633 KB	0xD187E504	image/tiff	Image	725	1023	03560000490001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/751	751	768.jpg	/chc0356/image/768.jpg
Ramón Grau San Martín and biographer Miguel Hernández Bauzá		Cuban president Ramón Grau San Martín, left, and biographer Miguel Hernández Bauzá	Photographic reproduction of photographic print	Grau San Martín, Ramón, 1887-1969; Hernández Bauzá, Miguel; Presidents -- Cuba	Group portraits	1967	1960-1970	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000460001001		315.445 KB	0x9C53E967	image/tiff	Image	768	950	03560000460001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/752	752	765.jpg	/chc0356/image/765.jpg
Group at Ramón Grau San Martín's home in Miramar, Cuba	Rodríguez, Mayea	Seated third from left, José R. Andreu, Cuban president Ramón Grau San Martín, center, and Tony Varona, seated far right, with a group at Grau's home in Miramar, Cuba	Grau San Martín is seated at center with José R. Andreu, former Minister of Public Health, to his right.  Seated at far right is Tony Varona, Cuba's Prime Minister under Carlos Prío Socarras.  Stamp (mark) on verso: "Mayea Rodríguez, Fotógrafo, Telef. X-2535 - Habana."	Grau San Martín, Ramón, 1887-1969; Andreu, José R.; Varona, Manuel Antonio de,1908-1992; Presidents -- Cuba	Group portraits	1957	1950-1960	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000450001001		325.257 KB	0x45B41B4A	image/tiff	Image	768	962	03560000450001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/753	753	764.jpg	/chc0356/image/764.jpg
Ramón Grau San Martín with group at Mount Vernon, Virginia		Cuban president Ramón Grau San Martín, seventh from right, with a group of unidentified men visiting Mount Vernon, Virginia		Grau San Martín, Ramón,1887-1969; Presidents -- Cuba; Mount Vernon (Va. : Estate)	Group portraits	1944-06	1940-1950	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000310001001		369.951 KB	0x1DD1DE4C	image/tiff	Image	768	977	03560000310001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/754	754	750.jpg	/chc0356/image/750.jpg
Ramón Grau San Martín with police officers		Cuban president Ramón Grau San Martín, right, with police officers in Güines	Photographic reproduction of photographic print	Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba; Police -- Cuba -- Güines	Group portraits	1947-06	1940-1950	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000360001001		343.041 KB	0x6977455E	image/tiff	Image	768	963	03560000360001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/755	755	755.jpg	/chc0356/image/755.jpg
Ramón Grau San Martín and group at the Casino Español, Havana	Barquín, B. J.	Seated, far left, Ramón Grau San Martín with a group of men	Grau San Martín is seated first from left.  Stamp (mark) on verso: "B.J. Barquín, Habana"	Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits		1910-1920	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000270001001		519.367 KB	0x557C1E25	image/tiff	Image	768	1000	03560000270001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/756	756	746.jpg	/chc0356/image/746.jpg
Polita Grau de Agüero	Berenstein	Portrait of Polita Grau de Agüero taken in Havana	On recto: "Berenstein"	Grau de Agüero, Polita, 1915-2000	Portrait photographs		1940-1950	1 b&w portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 6  Folder Title: Grau Polita: Portraits. Folder Date: 1916-1980s	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000510001001		167.558 KB	0xA51829CA	image/tiff	Image	768	625	03560000510001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/757	757	770.jpg	/chc0356/image/770.jpg
Ramón Grau San Martín from the balcony of the Presidential Palace on his inauguration day		Cuban president, Ramón Grau San Martín, facing the camera, from the balcony of the Presidential Palace on his inauguration day, Havana	Photographic reproduction of photographic print	Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits	1933-09	1930-1940	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 5  Folder No. 2  Folder Title: Grau San Martín Ramón: Presidential Inauguration (Oversized) Folder Date: 1933	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000640001001		214.675 KB	0xF1F80287	image/tiff	Image	544	1023	03560000640001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/758	758	783.jpg	/chc0356/image/783.jpg
Presidential Palace service staff with Pepe Agüero, Havana		José (Pepe) Agüero, fifth from left, with Presidential Palace staff		Grau de Agüero, Polita, 1915-2000 -- Family; Agüero, José; Presidents -- Cuba -- Staff	Group portraits		1940-1950	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 11  Folder Title: Agüero Pepe: Groups. Folder Date: 1944-1947	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000620001001		320.698 KB	0x6581EBE0	image/tiff	Image	625	1023	03560000620001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/759	759	781.jpg	/chc0356/image/781.jpg
Ramón Grau San Martín at Arlington National Cemetery, Virginia		Cuban president Ramón Grau San Martín, left, visiting Arlington National Cemetery in Virginia		Grau San Martín, Ramón, 1887-1969; Arlington National Cemetery (Arlington, Va.);  Presidents -- Cuba	Group portraits	1944-06	1940-1950	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000320001001		229.606 KB	0xC5892D9F	image/tiff	Image	768	570	03560000320001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/760	760	751.jpg	/chc0356/image/751.jpg
Ramón Grau San Martín with his nieces and nephews on his presidential inauguration day, Havana		From left to right: Paulina, Polita, Ramón and Francisco Grau Alsina with their uncle, newly elected president of Cuba, Ramón Grau San Martín	Photographic reproduction of photographic print.  From left to right:  Tata, Polita, Ramón Grau San Martín, Ramón (Mongo), and Francisco (Pancho).	Grau San Martín, Ramón, 1887-1969 -- Family; Grau Alsina, Paulina; Grau de Agüero, Polita, 1915-2000; Grau Alsina, Ramón; Grau Alsina, Francisco; Presidents -- Cuba	Group portraits	1933-09	1930-1940	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 5  Folder No. 2  Folder Title: Grau San Martín Ramón: Presidential Inauguration (Oversized) Folder Date: 1933	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000660001001		219.312 KB	0xFF18173E	image/tiff	Image	768	607	03560000660001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/761	761	785.jpg	/chc0356/image/785.jpg
Ramón Grau San Martín and Mary Grau at Colón Cemetery, Havana		Cuban president Ramón Grau San Martín and Mary Grau at Colón Cemetery, Havana		Grau San Martín, Ramón, 1887-1969; Grau, Mary; Necrópolis Cristóbal Colón (Havana, Cuba); Presidents -- Cuba	Group portraits		1960-1970	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000470001001		288.029 KB	0xDF358E3E	image/tiff	Image	715	1023	03560000470001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/762	762	766.jpg	/chc0356/image/766.jpg
Ramón Grau San Martín and group at his home in Mirarmar, Cuba		Cuban president Ramón Grau San Martín, fourth from right, and group at his home in Mirarmar, Cuba		Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits		1950-1960	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000420001001		268.934 KB	0x6A95D0AC	image/tiff	Image	768	945	03560000420001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/763	763	761.jpg	/chc0356/image/761.jpg
Ramón Grau Alsina at age seven		Portrait of Ramón Grau Alsina, brother of Polita Grau, taken in Havana at age seven. Along with his sister Polita, Ramón  was sent to prison in 1965 for conspiring with the CIA to topple Fidel Castro and for his coordination, with Polita, of Operation "Pedro Pan." Ramón Grau Alsina was released from prison in 1986	Photographic reproduction of photographic print	Grau Alsina, Ramón	Portrait photographs	1929	1920-1930	1 b&w portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 9  Folder Title: Grau Alsina Ramón. Folder Date: 1929 1980s-1994	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000560001001		130.771 KB	0x4BD42415	image/tiff	Image	768	621	03560000560001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/764	764	775.jpg	/chc0356/image/775.jpg
Ramón Grau San Martín's arrival in Miami		Cuban president Ramón Grau San Martín, right, with an unidentified man upon his arrival in Miami where he received an honorary Juris Doctor degree from the University of Miami	The University of Miami granted Grau San Martín an honorary degree, Doctor of Laws, on 7 Feb. 1949.	Grau San Martín, Ramón,1887-1969; University of Miami; Presidents -- Cuba	Group portraits	1949-02	1940-1950	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000410001001		226.979 KB	0x4FAD33DD	image/tiff	Image	744	1023	03560000410001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/765	765	760.jpg	/chc0356/image/760.jpg
Roberto Lago Pereda and Polita Grau		Polita Grau and first husband Roberto Lago Pereda. They were married in 1934 when he was leader of the student movement in Havana. While visiting Miami in 1935, Lago Pereda suffered an attack of appendicitis and died at Jackson Memorial Hospital		Grau de Agüero, Polita, 1915-2000 -- Family;  Lago Pereda, Roberto; Jackson Memorial Hospital	Group portraits	1934-11	1930-1940	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994(bulk dates 1980s-1994).	Box No. 4  Folder No. 8  Folder Title: Grau Polita and Roberto Lago Pereda. Folder Date: 1933-1934	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000540001001		250.271 KB	0xEF11ECAE	image/tiff	Image	768	618	03560000540001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/766	766	773.jpg	/chc0356/image/773.jpg
Polita Grau and José Agüero at their wedding, with Ramón Grau San Martín		José (Pepe) Agüero and Polita Grau at their wedding, with Cuban president Ramón Grau San Martín. Polita and Pepe had two children, Ramón (Monchy) and Hilda		Grau de Agüero, Polita, 1915-2000 -- Marriage;  Agüero, José -- Marriage; Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits	1939	1930-1940	1 b&w photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 7  Folder Title: Grau Polita: Groups. Folder Date: 1915-1965	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000590001001		327.504 KB	0x73626E1C	image/tiff	Image	679	1022	03560000590001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/767	767	778.jpg	/chc0356/image/778.jpg
Ramón Grau Alsina on a train during his trip from Zürich to Geneva for a visit to the United Nations		Ramón Grau Alsina, brother of Polita Grau, on a train during his trip from Zürich to Geneva for a visit to the United Nations		Grau Alsina, Ramón	Portrait photographs	1988	1980-1990	1 col. portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 9  Folder Title: Grau Alsina Ramón. Folder Date: 1929 1980s-1994	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000570001001		390.991 KB	0xFEFB90AC	image/tiff	Image	746	1022	03560000570001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/768	768	776.jpg	/chc0356/image/776.jpg
Ramón Grau San Martín in Washington, D.C.		Cuban president Ramón Grau San Martín, second from right, with a group of unidentified men in Washington, D.C.		Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits	1944-06	1940-1950	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000300001001		318.438 KB	0xAA2D1D7	image/tiff	Image	768	979	03560000300001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/769	769	749.jpg	/chc0356/image/749.jpg
Polita Grau de Agüero	Berenstein	Portrait of Polita Grau de Agüero taken in Havana	On recto: "Berenstein"	Grau de Agüero, Polita, 1915-2000	Portrait photographs		1940-1950	1 col. portrait photograph	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 5  Folder No. 4  Folder Title: Grau Polita:Portraits (Oversized) Folder Date: 1939-1940	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000680001001		192.754 KB	0x1585AF52	image/tiff	Image	768	692	03560000680001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/770	770	787.jpg	/chc0356/image/787.jpg
Ramón Grau San Martín with the Vanderbilts, Washington, D.C.		Cuban president Ramón Grau San Martín, second from right, with the Vanderbilts in Washington, D.C.		Grau San Martín, Ramón, 1887-1969; Presidents -- Cuba	Group portraits	1944-06	1940-1950	1 b&w group portrait	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series III. Photographs and  Drawings, 1882?-1994 (bulk dates 1980s-1994).	Box No. 4  Folder No. 2  Folder Title: Grau San Martín Ramón: Groups. Folder Date: 1910?-1967	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc03560000290001001		335.229 KB	0x47172FAD	image/tiff	Image	768	985	03560000290001001.tif			2006-11-11	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/771	771	748.jpg	/chc0356/image/748.jpg
